Tanggal,Waktu,Suhu (C),Suhu (F),Kelembaban,Heat Index (C),Heat Index (F)
30/08/2023,17.01.34,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.02.50,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.04.06,27.10,80.78,70.00,29.03,84.25
30/08/2023,17.33.08,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.34.23,26.70,80.06,71.00,28.43,83.17
30/08/2023,17.35.38,26.70,80.06,72.00,28.50,83.30
30/08/2023,17.36.53,26.70,80.06,72.00,28.50,83.30
30/08/2023,17.38.12,27.10,80.78,72.00,29.20,84.57
30/08/2023,17.39.27,27.10,80.78,72.00,29.20,84.57
30/08/2023,17.40.43,27.10,80.78,72.00,29.20,84.57
30/08/2023,17.41.58,27.10,80.78,72.00,29.20,84.57
30/08/2023,17.43.17,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.44.33,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.45.54,27.10,80.78,72.00,29.20,84.57
30/08/2023,17.47.09,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.48.24,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.49.41,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.52.02,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.53.20,26.70,80.06,71.00,28.43,83.17
30/08/2023,17.54.37,27.10,80.78,72.00,29.20,84.57
30/08/2023,17.59.43,26.70,80.06,72.00,28.50,83.30
30/08/2023,18.01.05,26.70,80.06,72.00,28.50,83.30
30/08/2023,18.02.21,26.00,78.80,73.00,27.41,81.33
30/08/2023,18.03.38,25.80,78.44,73.00,27.10,80.77
30/08/2023,18.04.56,26.20,79.16,73.00,27.73,81.91
30/08/2023,18.06.16,26.20,79.16,73.00,27.73,81.91
30/08/2023,18.07.33,27.60,81.68,81.00,31.25,88.25
30/08/2023,18.10.03,26.20,79.16,73.00,27.73,81.91
30/08/2023,18.11.26,26.20,79.16,73.00,27.73,81.91
30/08/2023,18.13.58,26.20,79.16,73.00,27.73,81.91
30/08/2023,18.15.16,26.20,79.16,73.00,27.73,81.91
30/08/2023,18.16.34,26.20,79.16,73.00,27.73,81.91
30/08/2023,18.31.21,26.20,79.16,71.00,27.63,81.74
30/08/2023,18.32.42,26.20,79.16,71.00,27.63,81.74
30/08/2023,18.34.00,25.80,78.44,72.00,27.07,80.72
30/08/2023,18.36.47,24.80,76.64,74.00,25.27,77.48
31/08/2023,15.18.21,27.60,81.68,67.00,29.58,85.25
31/08/2023,15.19.36,27.10,80.78,66.00,28.68,83.63
31/08/2023,15.20.53,27.60,81.68,66.00,29.48,85.06
31/08/2023,15.23.31,27.10,80.78,68.00,28.85,83.93
31/08/2023,15.24.17,27.10,80.78,68.00,28.85,83.93
31/08/2023,15.24.53,27.10,80.78,68.00,28.85,83.93
31/08/2023,15.26.10,27.10,80.78,69.00,28.94,84.09
31/08/2023,15.28.50,28.00,82.40,64.00,29.91,85.84
31/08/2023,15.30.06,28.00,82.40,64.00,29.91,85.84
31/08/2023,15.31.22,27.60,81.68,68.00,29.69,85.44
31/08/2023,15.32.40,27.10,80.78,69.00,28.94,84.09
31/08/2023,15.38.15,27.10,80.78,69.00,28.94,84.09
31/08/2023,15.39.31,27.10,80.78,68.00,28.85,83.93
31/08/2023,15.50.33,27.60,81.68,68.00,29.69,85.44
31/08/2023,15.51.57,28.00,82.40,66.00,30.15,86.28
31/08/2023,15.53.14,27.60,81.68,67.00,29.58,85.25
31/08/2023,15.55.56,28.00,82.40,67.00,30.28,86.50
31/08/2023,15.57.25,28.50,83.30,63.00,30.62,87.12
31/08/2023,16.02.57,28.50,83.30,63.00,30.62,87.12
31/08/2023,16.04.13,28.00,82.40,65.00,30.03,86.06
31/08/2023,16.06.50,28.00,82.40,66.00,30.15,86.28
31/08/2023,16.08.53,28.50,83.30,65.00,30.91,87.63
31/08/2023,16.09.22,28.00,82.40,65.00,30.03,86.06
31/08/2023,16.10.37,27.10,80.78,68.00,28.85,83.93
31/08/2023,16.11.52,27.10,80.78,69.00,28.94,84.09
31/08/2023,16.13.08,27.10,80.78,69.00,28.94,84.09
31/08/2023,16.14.32,27.60,81.68,69.00,29.80,85.64
31/08/2023,16.15.53,27.60,81.68,69.00,29.80,85.64
31/08/2023,16.17.08,27.10,80.78,68.00,28.85,83.93
31/08/2023,16.18.23,27.10,80.78,69.00,28.94,84.09
31/08/2023,16.19.38,26.70,80.06,69.00,28.29,82.93
31/08/2023,16.20.53,27.10,80.78,69.00,28.94,84.09
31/08/2023,16.23.24,26.70,80.06,70.00,28.36,83.05
31/08/2023,16.24.39,26.70,80.06,70.00,28.36,83.05
31/08/2023,16.25.54,26.70,80.06,70.00,28.36,83.05
31/08/2023,16.27.09,26.20,79.16,71.00,27.63,81.74
31/08/2023,16.28.24,26.20,79.16,71.00,27.63,81.74
31/08/2023,16.29.40,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.30.55,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.32.10,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.33.25,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.34.40,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.35.55,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.37.10,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.38.25,25.80,78.44,72.00,27.07,80.72
31/08/2023,16.39.41,25.30,77.54,73.00,25.79,78.43
31/08/2023,16.40.56,25.80,78.44,73.00,27.10,80.77
31/08/2023,16.42.11,25.80,78.44,73.00,27.10,80.77
31/08/2023,16.43.26,25.80,78.44,73.00,27.10,80.77
31/08/2023,16.44.42,26.20,79.16,73.00,27.73,81.91
31/08/2023,16.45.57,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.47.12,26.20,79.16,72.00,27.68,81.82
31/08/2023,16.48.27,25.90,78.62,72.00,27.22,80.99
31/08/2023,16.49.43,25.80,78.44,73.00,27.10,80.77
31/08/2023,16.50.58,25.80,78.44,73.00,27.10,80.77
31/08/2023,16.52.13,25.80,78.44,73.00,27.10,80.77
31/08/2023,16.53.29,25.80,78.44,73.00,27.10,80.77
31/08/2023,16.54.44,25.30,77.54,73.00,25.79,78.43
31/08/2023,16.55.59,25.30,77.54,73.00,25.79,78.43
31/08/2023,16.57.14,25.30,77.54,74.00,25.82,78.47
31/08/2023,16.58.30,25.30,77.54,74.00,25.82,78.47
31/08/2023,16.59.45,25.30,77.54,74.00,25.82,78.47
31/08/2023,17.01.01,25.30,77.54,74.00,25.82,78.47
31/08/2023,17.02.16,25.30,77.54,73.00,25.79,78.43
31/08/2023,17.03.31,25.30,77.54,73.00,25.79,78.43
31/08/2023,17.04.47,25.80,78.44,73.00,27.10,80.77
31/08/2023,17.06.02,25.80,78.44,73.00,27.10,80.77
31/08/2023,17.07.17,25.80,78.44,73.00,27.10,80.77
31/08/2023,17.08.31,25.80,78.44,73.00,27.10,80.77
31/08/2023,17.09.46,25.80,78.44,73.00,27.10,80.77
31/08/2023,17.11.05,25.80,78.44,73.00,27.10,80.77
31/08/2023,17.12.21,25.30,77.54,73.00,25.79,78.43
31/08/2023,17.13.36,25.30,77.54,73.00,25.79,78.43
31/08/2023,17.14.51,25.80,78.44,73.00,27.10,80.77
01/09/2023,15.26.52,28.90,84.02,54.00,30.03,86.05
01/09/2023,15.27.57,27.60,81.68,59.00,28.78,83.81
01/09/2023,15.29.14,27.10,80.78,62.00,28.36,83.05
01/09/2023,15.30.16,27.10,80.78,62.00,28.36,83.05
01/09/2023,15.32.06,26.20,79.16,64.00,27.32,81.17
01/09/2023,15.33.23,26.20,79.16,64.00,27.32,81.17
01/09/2023,15.34.40,26.70,80.06,63.00,27.90,82.22
01/09/2023,15.35.57,26.70,80.06,64.00,27.96,82.33
01/09/2023,15.37.14,27.60,81.68,62.00,29.07,84.33
01/09/2023,15.38.30,27.90,82.22,61.00,29.41,84.94
01/09/2023,15.39.46,27.10,80.78,62.00,28.36,83.05
01/09/2023,15.41.05,27.00,80.60,63.00,28.30,82.94
01/09/2023,15.42.21,27.60,81.68,61.00,28.97,84.15
01/09/2023,15.43.38,28.00,82.40,60.00,29.45,85.01
01/09/2023,15.44.55,28.00,82.40,59.00,29.34,84.81
01/09/2023,15.46.11,27.10,80.78,62.00,28.36,83.05
01/09/2023,15.47.28,27.60,81.68,62.00,29.07,84.33
01/09/2023,15.48.45,27.10,80.78,62.00,28.36,83.05
01/09/2023,15.50.01,27.10,80.78,62.00,28.36,83.05
01/09/2023,15.51.17,27.10,80.78,63.00,28.44,83.19
01/09/2023,15.52.33,27.10,80.78,63.00,28.44,83.19
01/09/2023,15.53.50,27.10,80.78,64.00,28.52,83.34
01/09/2023,15.55.14,27.60,81.68,63.00,29.17,84.50
01/09/2023,15.56.31,28.00,82.40,61.00,29.56,85.21
01/09/2023,15.57.48,27.60,81.68,62.00,29.07,84.33
01/09/2023,15.59.04,27.10,80.78,63.00,28.44,83.19
01/09/2023,16.00.21,27.60,81.68,63.00,29.17,84.50
01/09/2023,16.01.38,28.00,82.40,61.00,29.56,85.21
01/09/2023,16.02.56,28.50,83.30,59.00,30.08,86.15
01/09/2023,16.04.12,28.00,82.40,59.00,29.34,84.81
01/09/2023,16.05.29,28.00,82.40,61.00,29.56,85.21
01/09/2023,16.06.46,27.10,80.78,63.00,28.44,83.19
01/09/2023,16.08.03,27.60,81.68,63.00,29.17,84.50
01/09/2023,16.09.21,27.60,81.68,62.00,29.07,84.33
01/09/2023,16.10.39,27.10,80.78,63.00,28.44,83.19
01/09/2023,16.11.57,27.10,80.78,64.00,28.52,83.34
01/09/2023,16.13.14,27.60,81.68,63.00,29.17,84.50
01/09/2023,16.14.33,27.10,80.78,64.00,28.52,83.34
01/09/2023,16.15.50,27.10,80.78,64.00,28.52,83.34
01/09/2023,16.17.08,27.10,80.78,64.00,28.52,83.34
01/09/2023,16.18.28,26.70,80.06,65.00,28.03,82.45
01/09/2023,16.19.48,26.70,80.06,64.00,27.96,82.33
01/09/2023,16.21.02,27.10,80.78,64.00,28.52,83.34
01/09/2023,16.22.19,26.70,80.06,65.00,28.03,82.45
01/09/2023,16.24.59,26.70,80.06,65.00,28.03,82.45
01/09/2023,16.26.16,27.10,80.78,64.00,28.52,83.34
01/09/2023,16.27.32,26.20,79.16,67.00,27.45,81.41
01/09/2023,16.28.48,26.20,79.16,67.00,27.45,81.41
01/09/2023,16.30.05,26.20,79.16,68.00,27.50,81.49
01/09/2023,16.31.22,26.20,79.16,67.00,27.45,81.41
01/09/2023,16.32.39,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.33.55,25.80,78.44,68.00,26.96,80.52
01/09/2023,16.35.12,26.20,79.16,69.00,27.54,81.57
01/09/2023,16.36.27,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.37.44,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.39.01,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.40.18,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.41.34,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.42.51,26.20,79.16,69.00,27.54,81.57
01/09/2023,16.44.07,26.70,80.06,73.00,28.57,83.43
01/09/2023,16.45.24,26.20,79.16,68.00,27.50,81.49
01/09/2023,16.46.42,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.48.00,25.80,78.44,69.00,26.98,80.57
01/09/2023,16.50.38,25.80,78.44,70.00,27.01,80.62
01/09/2023,16.51.57,25.80,78.44,70.00,27.01,80.62
01/09/2023,16.53.14,25.80,78.44,70.00,27.01,80.62
01/09/2023,16.54.31,25.30,77.54,70.00,25.71,78.28
01/09/2023,16.55.48,25.30,77.54,70.00,25.71,78.28
01/09/2023,16.57.04,25.30,77.54,71.00,25.74,78.33
01/09/2023,16.58.22,25.30,77.54,71.00,25.74,78.33
01/09/2023,16.59.38,25.30,77.54,71.00,25.74,78.33
01/09/2023,17.00.54,25.30,77.54,71.00,25.74,78.33
01/09/2023,17.02.10,25.30,77.54,71.00,25.74,78.33
01/09/2023,17.03.28,25.30,77.54,71.00,25.74,78.33
01/09/2023,17.04.44,25.30,77.54,72.00,25.77,78.38
02/09/2023,15.31.55,27.60,81.68,64.00,29.27,84.69
02/09/2023,15.33.10,27.60,81.68,64.00,29.27,84.69
02/09/2023,15.34.26,28.00,82.40,62.00,29.68,85.42
02/09/2023,15.35.41,28.00,82.40,62.00,29.68,85.42
02/09/2023,15.36.56,28.00,82.40,62.00,29.68,85.42
02/09/2023,15.38.12,28.00,82.40,62.00,29.68,85.42
02/09/2023,15.39.28,28.00,82.40,62.00,29.68,85.42
02/09/2023,15.40.43,28.00,82.40,62.00,29.68,85.42
02/09/2023,15.41.59,28.00,82.40,62.00,29.68,85.42
02/09/2023,15.43.15,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.44.30,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.45.45,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.47.00,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.48.15,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.49.31,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.50.46,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.52.02,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.53.18,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.54.34,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.55.49,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.57.05,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.58.21,28.00,82.40,63.00,29.79,85.63
02/09/2023,15.59.37,28.00,82.40,63.00,29.79,85.63
02/09/2023,16.00.53,28.00,82.40,63.00,29.79,85.63
02/09/2023,16.02.15,28.00,82.40,63.00,29.79,85.63
02/09/2023,16.03.25,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.04.41,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.05.56,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.07.12,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.08.28,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.09.44,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.10.59,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.12.14,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.13.30,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.14.46,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.16.01,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.17.17,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.18.32,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.19.48,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.21.03,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.22.19,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.23.35,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.24.51,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.26.07,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.27.08,28.90,84.02,72.00,32.88,91.18
02/09/2023,16.28.24,29.30,84.74,76.00,34.67,94.40
02/09/2023,16.29.39,28.50,83.30,66.00,31.05,87.90
02/09/2023,16.30.55,28.00,82.40,64.00,29.91,85.84
02/09/2023,16.32.12,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.33.28,27.60,81.68,66.00,29.48,85.06
02/09/2023,16.34.44,28.50,83.30,72.00,31.99,89.58
02/09/2023,16.35.59,28.50,83.30,70.00,31.67,89.00
02/09/2023,16.37.15,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.38.30,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.39.46,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.41.01,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.42.16,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.43.32,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.44.48,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.46.03,28.50,83.30,70.00,31.67,89.00
02/09/2023,16.47.19,28.50,83.30,72.00,31.99,89.58
02/09/2023,16.48.34,28.50,83.30,67.00,31.20,88.16
02/09/2023,16.49.50,28.50,83.30,66.00,31.05,87.90
02/09/2023,16.51.05,28.50,83.30,65.00,30.91,87.63
02/09/2023,16.52.27,28.00,82.40,65.00,30.03,86.06
02/09/2023,16.53.39,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.54.54,28.00,82.40,66.00,30.15,86.28
02/09/2023,16.56.10,28.00,82.40,67.00,30.28,86.50
02/09/2023,16.57.25,28.00,82.40,67.00,30.28,86.50
02/09/2023,16.58.41,27.60,81.68,68.00,29.69,85.44
02/09/2023,16.59.57,27.60,81.68,68.00,29.69,85.44
02/09/2023,17.03.49,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.05.05,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.06.20,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.07.37,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.08.52,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.10.07,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.11.22,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.14.12,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.15.29,28.00,82.40,66.00,30.15,86.28
02/09/2023,17.16.46,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.18.02,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.19.19,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.20.44,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.22.04,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.23.20,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.24.35,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.25.51,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.27.07,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.28.21,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.29.38,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.30.55,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.32.11,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.33.26,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.34.42,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.35.59,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.37.16,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.38.33,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.39.52,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.41.09,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.42.24,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.43.43,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.44.56,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.46.12,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.47.26,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.48.43,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.49.58,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.51.14,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.52.29,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.53.44,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.54.58,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.56.14,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.57.31,28.00,82.40,67.00,30.28,86.50
02/09/2023,17.59.07,28.00,82.40,67.00,30.28,86.50
02/09/2023,18.00.23,28.00,82.40,67.00,30.28,86.50
03/09/2023,14.09.24,28.00,82.40,58.00,29.23,84.62
03/09/2023,14.10.10,28.00,82.40,55.00,28.92,84.06
03/09/2023,14.11.25,28.00,82.40,56.00,29.02,84.24
03/09/2023,14.12.40,30.80,87.44,79.00,39.87,103.77
03/09/2023,14.13.55,30.20,86.36,59.00,33.01,91.42
03/09/2023,14.16.23,30.20,86.36,47.00,30.87,87.57
03/09/2023,14.17.39,30.20,86.36,48.00,31.03,87.85
03/09/2023,14.18.54,29.30,84.74,51.00,30.19,86.34
03/09/2023,14.20.12,29.30,84.74,52.00,30.33,86.59
03/09/2023,14.22.39,29.30,84.74,55.00,30.76,87.37
03/09/2023,14.23.54,29.30,84.74,54.00,30.61,87.10
03/09/2023,14.25.09,29.30,84.74,53.00,30.47,86.84
03/09/2023,14.26.24,29.30,84.74,53.00,30.47,86.84
03/09/2023,14.27.42,28.90,84.02,53.00,29.90,85.82
03/09/2023,14.28.57,29.30,84.74,55.00,30.76,87.37
03/09/2023,14.29.29,29.30,84.74,63.00,32.07,89.72
03/09/2023,14.33.28,29.80,85.64,62.00,32.84,91.12
03/09/2023,14.34.44,28.90,84.02,53.00,29.90,85.82
03/09/2023,14.35.59,28.90,84.02,53.00,29.90,85.82
03/09/2023,14.37.16,28.50,83.30,54.00,29.47,85.05
03/09/2023,14.38.31,28.50,83.30,55.00,29.59,85.26
03/09/2023,14.39.46,28.50,83.30,55.00,29.59,85.26
03/09/2023,14.41.05,28.50,83.30,56.00,29.71,85.48
03/09/2023,14.42.20,28.50,83.30,55.00,29.59,85.26
03/09/2023,14.43.36,28.50,83.30,55.00,29.59,85.26
03/09/2023,14.44.51,28.50,83.30,55.00,29.59,85.26
03/09/2023,14.46.06,28.50,83.30,57.00,29.83,85.70
03/09/2023,14.47.25,28.90,84.02,60.00,30.87,87.56
03/09/2023,14.48.40,28.90,84.02,57.00,30.43,86.78
03/09/2023,14.51.54,28.90,84.02,55.00,30.16,86.29
03/09/2023,14.53.09,28.50,83.30,56.00,29.71,85.48
03/09/2023,14.54.24,28.50,83.30,56.00,29.71,85.48
03/09/2023,14.55.39,28.10,82.58,56.00,29.16,84.48
03/09/2023,14.56.55,28.50,83.30,55.00,29.59,85.26
03/09/2023,14.58.10,28.50,83.30,55.00,29.59,85.26
03/09/2023,14.59.25,28.50,83.30,56.00,29.71,85.48
03/09/2023,15.00.40,28.00,82.40,56.00,29.02,84.24
03/09/2023,15.01.56,28.00,82.40,56.00,29.02,84.24
03/09/2023,15.03.15,28.00,82.40,56.00,29.02,84.24
03/09/2023,15.04.31,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.05.46,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.07.02,28.50,83.30,55.00,29.59,85.26
03/09/2023,15.08.20,28.50,83.30,55.00,29.59,85.26
03/09/2023,15.09.35,28.00,82.40,54.00,28.82,83.88
03/09/2023,15.09.51,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.11.06,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.12.21,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.13.36,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.14.52,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.16.07,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.17.22,28.00,82.40,56.00,29.02,84.24
03/09/2023,15.18.37,28.00,82.40,56.00,29.02,84.24
03/09/2023,15.19.52,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.21.07,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.22.31,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.23.39,28.00,82.40,55.00,28.92,84.06
03/09/2023,15.24.54,28.00,82.40,56.00,29.02,84.24
03/09/2023,15.26.10,28.90,84.02,61.00,31.02,87.83
03/09/2023,15.27.25,28.50,83.30,55.00,29.59,85.26
03/09/2023,15.28.41,28.50,83.30,55.00,29.59,85.26
03/09/2023,15.29.56,28.50,83.30,55.00,29.59,85.26
03/09/2023,15.31.11,28.50,83.30,55.00,29.59,85.26
03/09/2023,15.32.26,28.50,83.30,56.00,29.71,85.48
